conversationId,participants,messageCount,lastMessageAt,createdAt
69ce3147edee9f8930b5dd21,,8,2026-04-06T07:59:03.186Z,2026-04-02T09:05:11.202Z
69be4dd7747901918e83569c,,1,2026-03-21T16:22:25.97Z,2026-03-21T07:50:47.318Z
699c257f740be46a87bc41b6,,42,2026-03-20T04:48:14.491Z,2026-02-23T10:01:35.358Z
69b59d3e99910d24c80e861c,,3,2026-03-15T05:13:28.276Z,2026-03-14T17:39:10.485Z
6977d54c0333169841029c00,,12,2026-01-26T20:59:44.308Z,2026-01-26T20:57:48.607Z
69a02b8f8d487c0f73624286,,1,2026-03-16T15:39:44.02Z,2026-02-26T11:16:31.889Z
6977daa3033316984102acb6,,24,2026-01-29T12:32:01.96Z,2026-01-26T21:20:35.465Z
69ff83affb8081d77d487f1b,,6,2026-05-09T19:01:14.591Z,2026-05-09T18:57:51.773Z
69ce3148edee9f8930b5dd52,,1,2026-04-06T15:23:00.753Z,2026-04-02T09:05:12.232Z
69ae99cb3c92e6d4d38206c4,,12,2026-03-15T08:47:27.89Z,2026-03-09T09:58:35.128Z
69af8ee006f56d0151a19d47,,31,2026-03-11T05:43:08.328Z,2026-03-10T03:24:16.461Z
69e2e5bd6bef73a051b5ed44,,405,2026-05-14T16:27:50.945Z,2026-04-18T02:00:29.823Z
699c83b3aba080d55c5c198c,,16,2026-04-04T14:48:08.657Z,2026-02-23T16:43:31.716Z
69c11f06f80639bcc91f2201,,1,2026-03-23T11:13:07.343Z,2026-03-23T11:07:50.825Z
698d6fe9acb707b6d5b45247,,3,2026-02-12T09:06:39.272Z,2026-02-12T06:15:05.236Z
6940753a2a3103b44e6bea13,,51,2025-12-20T14:12:43.447Z,2025-12-15T20:53:14.556Z
